Command : [ .\participant.py info -a 5 ]
Total rows: 5
p_id | p_name         | major_work | profession                
---------------------------------------------------------------
53   | Robert Mitchum | 0039689    | actor, producer, writer   
92   | John Cleese    | 0095159    | actor, producer, writer   
100  | Rowan Atkinson | 0274166    | actor, producer, writer   
228  | Kevin Spacey   | 0119488    | actor, producer, writer   
231  | Oliver Stone   | 0091763    | director, producer, writer

Command : [ .\participant.py info -i 92 ]
Total rows: 1
p_id | p_name      | major_work | profession             
---------------------------------------------------------
92   | John Cleese | 0095159    | actor, producer, writer

Command : [ .\participant.py info -n john Cleese ]
Total rows: 1
p_id | p_name      | major_work | profession             
---------------------------------------------------------
92   | John Cleese | 0095159    | actor, producer, writer

Command : [ .\participant.py info -pr actor ]
Total rows: 466
p_id     | p_name                          | major_work | profession                                     
---------------------------------------------------------------------------------------------------------
793892   | Bill Shine                      | 0040725    | actor                                          
797725   | James Sikking                   | 0107798    | actor, archive_footage, soundtrack             
798025   | Marc Silk                       | 0120915    | actor, archive_sound, composer                 
803756   | Bjørn Skagestad                 | 0205619    | actor                                          
809321   | Mel Smith                       | 0093779    | actor, producer, writer                        
817043   | Stephen Sparks                  | 1423894    | actor, miscellaneous, producer                 
828696   | Ray Stevens                     | 0082136    | actor, producer, writer                        
828745   | Ronnie Stevens                  | 0120783    | actor, archive_footage, soundtrack             
829484   | Jay Stewart                     | 0089114    | actor, miscellaneous, transportation_department
833080   | Günter Strack                   | 0061107    | actor, miscellaneous, soundtrack               
835292   | Semyon Strugachyov              | 0114055    | actor, producer                                
839578   | Fernando Sureda                 | 0316613    | actor                                          
843955   | Andrzej Szenajch                | 2229201    | actor, art_department, costume_department      
845297   | Jan Sælid                       | 0882285    | actor                                          
853299   | Vaughn Taylor                   | 0054215    | actor, archive_footage                         
861726   | Juan Carlos Thorry              | 0200543    | actor, director, writer                        
861830   | Johan Thorén                    | 0083922    | actor, special_effects, stunts                 
863192   | Peter Tilbury                   | 0108723    | actor, miscellaneous, writer                   
864908   | Zdzislaw Tobiasz                | 0399943    | actor, director                                
865395   | Ljubimir Todorovic              | 0398442    | actor                                          
887336   | Fred Van Kuyk                   | 0227974    | actor, camera_department, cinematographer      
887931   | Guy Van Sande                   | 5518944    | actor, archive_footage, director               
891391   | Ramiro Vayo                     | 3011894    | actor, miscellaneous                           
891796   | Antonio de la Vega              | 1264787    | actor, miscellaneous                           
893257   | Milo Ventimiglia                | 0813715    | actor, director, producer                      
898905   | John Vine                       | 0083987    | actor, archive_footage                         
905357   | Steven Waddington               | 1464335    | actor, director, writer                        
907636   | Clint Walker                    | 0061578    | actor, archive_footage, soundtrack             
915750   | David Weatherley                | 0120737    | actor, archive_footage                         
